game_pk,date,season,home,away,home_score,away_score,home_sp_id,away_sp_id,home_sp,away_sp
662021,2022-04-07,2022,St. Louis Cardinals,Pittsburgh Pirates,9,0,425794,664141,Adam Wainwright,JT Brubaker
662571,2022-04-07,2022,Washington Nationals,New York Mets,1,5,571578,656731,Patrick Corbin,Tylor Megill
662766,2022-04-07,2022,Kansas City Royals,Cleveland Guardians,3,1,425844,669456,Zack Greinke,Shane Bieber
663178,2022-04-07,2022,Chicago Cubs,Milwaukee Brewers,5,4,543294,669203,Kyle Hendricks,Corbin Burnes
661042,2022-04-08,2022,Los Angeles Angels,Houston Astros,1,3,660271,664285,Shohei Ohtani,Framber Valdez
661131,2022-04-08,2022,Philadelphia Phillies,Oakland Athletics,9,5,605400,593423,Aaron Nola,Frankie Montas
661333,2022-04-08,2022,New York Yankees,Boston Red Sox,6,5,543037,543135,Gerrit Cole,Nathan Eovaldi
661576,2022-04-08,2022,Atlanta Braves,Cincinnati Reds,7,6,450203,665665,Charlie Morton,Reiver Sanmartin
661577,2022-04-08,2022,Atlanta Braves,Cincinnati Reds,3,6,608331,641816,Max Fried,Tyler Mahle
661750,2022-04-08,2022,Minnesota Twins,Seattle Mariners,1,2,657746,592662,Joe Ryan,Robbie Ray
661782,2022-04-08,2022,Toronto Blue Jays,Texas Rangers,10,8,621244,592351,José Berríos,Jon Gray
661918,2022-04-08,2022,Tampa Bay Rays,Baltimore Orioles,2,1,663556,607644,Shane McClanahan,John Means
662124,2022-04-08,2022,San Francisco Giants,Miami Marlins,6,5,657277,645261,Logan Webb,Sandy Alcantara
662559,2022-04-08,2022,Washington Nationals,New York Mets,3,7,680686,453286,Josiah Gray,Max Scherzer
662888,2022-04-08,2022,Detroit Tigers,Chicago White Sox,5,4,593958,608337,Eduardo Rodriguez,Lucas Giolito
662933,2022-04-08,2022,Colorado Rockies,Los Angeles Dodgers,3,5,607536,621111,Kyle Freeland,Walker Buehler
